,Product,Price,Link,Image
61,OCT 518X,3685000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=214,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SK518br-228x228.jpg
62,OCT 603Bn,7392000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=215,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/65667-228x228.jpg
63,OCT 603G,7953000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=216,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SK603G-BR-228x228.jpg
64,OCT 603H,8393000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=217,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SK603H-BR-228x228.jpg
65,OCT 666,6534000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=344,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/Sk666-(2)2-228x228.jpg
66,OCT 666S,7205000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=348,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/666-2-228x228.jpg
67,OCT 700Bn,6798000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=202,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/br700b-228x228.jpg
68,OCT 700G,7359000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=203,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/br700g-228x228.jpg
69,OCT 708Bn,7458000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=218,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SK708Bn-BR-228x228.jpg
70,OCT 708G,8019000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=219,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SK708G-BR-228x228.jpg
71,OCT 708H,8459000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=220,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SK708H-BR-228x228.jpg
72,OCT 712T,8646000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=191,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/br712-228x228.jpg
73,OCT 740,6611000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=222,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SK740K-228x228.jpg
74,OCT 740K,7469000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=221,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SK740KU-228x228.jpg
75,OCT 740KM,7524000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=279,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SK740mmbr-228x228.jpg
76,OCT 740M,6666000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=278,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SK740smbr-228x228.jpg
77,OCT 750,9801000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=350,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/7502-228x228.jpg
78,OCT 750P,9746000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=386,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/OCT%20750P-228x228.jpg
79,OCT 750S,10472000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=387,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/OCT%20750S-228x228.jpg
80,OCT 750SP,10417000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=388,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/OCT%20750SP-228x228.jpg
81,OCT666P,6479000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=435,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/sk666p-228x228.jpg
